geometry,name,plus_code,types,vicinity,latitude,longitude,distance,lifeline_number,lifeline_category
"{'location': {'lat': 39.340666, 'lng': -104.817064}, 'viewport': {'northeast': {'lat': 39.3419803802915, 'lng': -104.8143784}, 'southwest': {'lat': 39.3392824197085, 'lng': -104.8179592}}}",Sri Venkateswara Swamy Temple of Colorado (SV Temple of Colorado),"{'compound_code': '85RM+75 Castle Rock, Colorado, United States', 'global_code': '85FQ85RM+75'}","['hindu_temple', 'place_of_worship', 'point_of_interest', 'establishment']","1495 South Ridge Road, Castle Rock",39.340666,-104.817064,46.7923,1,safety_security
"{'location': {'lat': 39.4033668, 'lng': -104.864416}, 'viewport': {'northeast': {'lat': 39.4042232802915, 'lng': -104.8634204697085}, 'southwest': {'lat': 39.4015253197085, 'lng': -104.8661184302915}}}",Douglas County Courthouse,"{'compound_code': 'C43P+86 Castle Rock, Colorado, United States', 'global_code': '85FQC43P+86'}","['courthouse', 'local_government_office', 'point_of_interest', 'establishment']","4000 Justice Way, Castle Rock",39.40336679999999,-104.86441599999999,38.9159,1,safety_security
"{'location': {'lat': 39.431861, 'lng': -104.897066}, 'viewport': {'northeast': {'lat': 39.4331720802915, 'lng': -104.8956122197085}, 'southwest': {'lat': 39.4304741197085, 'lng': -104.8983101802915}}}",South Metro Fire Station 39,"{'compound_code': 'C4J3+P5 Castle Pines, Colorado, United States', 'global_code': '85FQC4J3+P5'}","['fire_station', 'point_of_interest', 'establishment']","475 East Happy Canyon Road, Castle Rock",39.431861,-104.897066,35.1375,1,safety_security
"{'location': {'lat': 39.4907267, 'lng': -104.7303309}, 'viewport': {'northeast': {'lat': 39.49197993029149, 'lng': -104.7289452697085}, 'southwest': {'lat': 39.48928196970849, 'lng': -104.7316432302915}}}",Legend High School,"{'compound_code': 'F7R9+7V Parker, Colorado, United States', 'global_code': '85FQF7R9+7V'}","['secondary_school', 'school', 'point_of_interest', 'establishment']","22219 Hilltop Road, Parker",39.4907267,-104.7303309,35.5253,1,safety_security
"{'location': {'lat': 39.517368, 'lng': -104.75337}, 'viewport': {'northeast': {'lat': 39.5187639302915, 'lng': -104.7522233697085}, 'southwest': {'lat': 39.5160659697085, 'lng': -104.7549213302915}}}",Parker Town Hall,"{'compound_code': 'G68W+WM Parker, Colorado, United States', 'global_code': '85FQG68W+WM'}","['city_hall', 'local_government_office', 'point_of_interest', 'establishment']","20120 Mainstreet, Parker",39.517368,-104.75336999999999,31.9756,1,safety_security
"{'location': {'lat': 39.5197648, 'lng': -104.921638}, 'viewport': {'northeast': {'lat': 39.5209217302915, 'lng': -104.9207613697085}, 'southwest': {'lat': 39.5182237697085, 'lng': -104.9234593302915}}}",Rock Canyon High School,"{'compound_code': 'G39H+W8 Highlands Ranch, Colorado, United States', 'global_code': '85FQG39H+W8'}","['secondary_school', 'school', 'point_of_interest', 'establishment']","5810 McArthur Ranch Road, Littleton",39.5197648,-104.92163799999999,25.1291,1,safety_security
"{'location': {'lat': 39.5225875, 'lng': -104.9657068}, 'viewport': {'northeast': {'lat': 39.5239225802915, 'lng': -104.9640185197085}, 'southwest': {'lat': 39.5212246197085, 'lng': -104.9667164802915}}}",Mountain Vista High School,"{'compound_code': 'G2FM+2P Highlands Ranch, Colorado, United States', 'global_code': '85FQG2FM+2P'}","['secondary_school', 'school', 'point_of_interest', 'establishment']","10585 Mountain Vista Ridge, Highlands Ranch",39.5225875,-104.96570679999999,24.2083,1,safety_security
"{'location': {'lat': 39.52657089999999, 'lng': -104.7801719}, 'viewport': {'northeast': {'lat': 39.52791988029149, 'lng': -104.7788229197085}, 'southwest': {'lat': 39.52522191970849, 'lng': -104.7815208802915}}}",Fleet Services,"{'compound_code': 'G6G9+JW Parker, Colorado, United States', 'global_code': '85FQG6G9+JW'}","['fire_station', 'point_of_interest', 'establishment']",Parker,39.52657089999999,-104.7801719,29.7454,1,safety_security
"{'location': {'lat': 39.5306485, 'lng': -104.9500131}, 'viewport': {'northeast': {'lat': 39.53221918029151, 'lng': -104.9488898697085}, 'southwest': {'lat': 39.52952121970851, 'lng': -104.9515878302915}}}",Heritage Elementary School,"{'compound_code': 'G2JX+7X Highlands Ranch, Colorado, United States', 'global_code': '85FQG2JX+7X'}","['primary_school', 'school', 'point_of_interest', 'establishment']","3350 Summit View Parkway, Highlands Ranch",39.5306485,-104.9500131,23.4742,1,safety_security
"{'location': {'lat': 39.531887, 'lng': -104.756945}, 'viewport': {'northeast': {'lat': 39.5331586302915, 'lng': -104.7555639197085}, 'southwest': {'lat': 39.5304606697085, 'lng': -104.7582618802915}}}",Parker Core Knowledge Charter School,"{'compound_code': 'G6JV+Q6 Parker, Colorado, United States', 'global_code': '85FQG6JV+Q6'}","['primary_school', 'secondary_school', 'school', 'point_of_interest', 'establishment']","11661 Pine Drive, Parker",39.531887,-104.756945,30.5414,1,safety_security
