geometry,latitude,longitude,distance,elevation,name,types,plus_code,vicinity,lifeline_number,lifeline_category
"{'location': {'lat': 39.340666, 'lng': -104.817064}, 'viewport': {'northeast': {'lat': 39.3419803802915, 'lng': -104.8143784}, 'southwest': {'lat': 39.3392824197085, 'lng': -104.8179592}}}",39.340666,-104.817064,46.7923,2046,Sri Venkateswara Swamy Temple of Colorado (SV Temple of Colorado),"['hindu_temple', 'place_of_worship', 'point_of_interest', 'establishment']","{'compound_code': '85RM+75 Castle Rock, Colorado, United States', 'global_code': '85FQ85RM+75'}","1495 South Ridge Road, Castle Rock",1,safety_security
"{'location': {'lat': 39.4033668, 'lng': -104.864416}, 'viewport': {'northeast': {'lat': 39.4042232802915, 'lng': -104.8634204697085}, 'southwest': {'lat': 39.4015253197085, 'lng': -104.8661184302915}}}",39.40336679999999,-104.864416,38.9159,1878,Douglas County Courthouse,"['courthouse', 'local_government_office', 'point_of_interest', 'establishment']","{'compound_code': 'C43P+86 Castle Rock, Colorado, United States', 'global_code': '85FQC43P+86'}","4000 Justice Way, Castle Rock",1,safety_security
"{'location': {'lat': 39.431861, 'lng': -104.897066}, 'viewport': {'northeast': {'lat': 39.4331720802915, 'lng': -104.8956122197085}, 'southwest': {'lat': 39.4304741197085, 'lng': -104.8983101802915}}}",39.431861,-104.897066,35.1375,1863,South Metro Fire Station 39,"['fire_station', 'point_of_interest', 'establishment']","{'compound_code': 'C4J3+P5 Castle Pines, Colorado, United States', 'global_code': '85FQC4J3+P5'}","475 East Happy Canyon Road, Castle Rock",1,safety_security
"{'location': {'lat': 39.4907267, 'lng': -104.7303309}, 'viewport': {'northeast': {'lat': 39.49197993029149, 'lng': -104.7289452697085}, 'southwest': {'lat': 39.48928196970849, 'lng': -104.7316432302915}}}",39.4907267,-104.7303309,35.5253,1878,Legend High School,"['secondary_school', 'school', 'point_of_interest', 'establishment']","{'compound_code': 'F7R9+7V Parker, Colorado, United States', 'global_code': '85FQF7R9+7V'}","22219 Hilltop Road, Parker",1,safety_security
"{'location': {'lat': 39.517368, 'lng': -104.75337}, 'viewport': {'northeast': {'lat': 39.5187639302915, 'lng': -104.7522233697085}, 'southwest': {'lat': 39.5160659697085, 'lng': -104.7549213302915}}}",39.517368,-104.75337,31.9756,1795,Parker Town Hall,"['city_hall', 'local_government_office', 'point_of_interest', 'establishment']","{'compound_code': 'G68W+WM Parker, Colorado, United States', 'global_code': '85FQG68W+WM'}","20120 Mainstreet, Parker",1,safety_security
"{'location': {'lat': 39.5197648, 'lng': -104.921638}, 'viewport': {'northeast': {'lat': 39.5209217302915, 'lng': -104.9207613697085}, 'southwest': {'lat': 39.5182237697085, 'lng': -104.9234593302915}}}",39.5197648,-104.921638,25.1291,1842,Rock Canyon High School,"['secondary_school', 'school', 'point_of_interest', 'establishment']","{'compound_code': 'G39H+W8 Highlands Ranch, Colorado, United States', 'global_code': '85FQG39H+W8'}","5810 McArthur Ranch Road, Littleton",1,safety_security
"{'location': {'lat': 39.5225875, 'lng': -104.9657068}, 'viewport': {'northeast': {'lat': 39.5239225802915, 'lng': -104.9640185197085}, 'southwest': {'lat': 39.5212246197085, 'lng': -104.9667164802915}}}",39.5225875,-104.9657068,24.2083,1842,Mountain Vista High School,"['secondary_school', 'school', 'point_of_interest', 'establishment']","{'compound_code': 'G2FM+2P Highlands Ranch, Colorado, United States', 'global_code': '85FQG2FM+2P'}","10585 Mountain Vista Ridge, Highlands Ranch",1,safety_security
"{'location': {'lat': 39.52657089999999, 'lng': -104.7801719}, 'viewport': {'northeast': {'lat': 39.52791988029149, 'lng': -104.7788229197085}, 'southwest': {'lat': 39.52522191970849, 'lng': -104.7815208802915}}}",39.52657089999999,-104.7801719,29.7454,1765,Fleet Services,"['fire_station', 'point_of_interest', 'establishment']","{'compound_code': 'G6G9+JW Parker, Colorado, United States', 'global_code': '85FQG6G9+JW'}",Parker,1,safety_security
"{'location': {'lat': 39.5306485, 'lng': -104.9500131}, 'viewport': {'northeast': {'lat': 39.53221918029151, 'lng': -104.9488898697085}, 'southwest': {'lat': 39.52952121970851, 'lng': -104.9515878302915}}}",39.5306485,-104.9500131,23.4742,1812,Heritage Elementary School,"['primary_school', 'school', 'point_of_interest', 'establishment']","{'compound_code': 'G2JX+7X Highlands Ranch, Colorado, United States', 'global_code': '85FQG2JX+7X'}","3350 Summit View Parkway, Highlands Ranch",1,safety_security
"{'location': {'lat': 39.531887, 'lng': -104.756945}, 'viewport': {'northeast': {'lat': 39.5331586302915, 'lng': -104.7555639197085}, 'southwest': {'lat': 39.5304606697085, 'lng': -104.7582618802915}}}",39.531887,-104.756945,30.5414,1801,Parker Core Knowledge Charter School,"['primary_school', 'secondary_school', 'school', 'point_of_interest', 'establishment']","{'compound_code': 'G6JV+Q6 Parker, Colorado, United States', 'global_code': '85FQG6JV+Q6'}","11661 Pine Drive, Parker",1,safety_security
"{'location': {'lat': 39.53485, 'lng': -105.0109921}, 'viewport': {'northeast': {'lat': 39.5359497302915, 'lng': -105.0098979697085}, 'southwest': {'lat': 39.5332517697085, 'lng': -105.0125959302915}}}",39.53485,-105.01099209999998,22.821,1738,Thunder Ridge High School,"['secondary_school', 'school', 'point_of_interest', 'establishment']","{'compound_code': 'GXMQ+WJ Highlands Ranch, Colorado, United States', 'global_code': '85FPGXMQ+WJ'}","1991 West Wildcat Reserve Parkway, Highlands Ranch",1,safety_security
"{'location': {'lat': 39.5357051, 'lng': -104.8441835}, 'viewport': {'northeast': {'lat': 39.5370072802915, 'lng': -104.8422848697085}, 'southwest': {'lat': 39.53430931970851, 'lng': -104.8449828302915}}}",39.5357051,-104.8441835,25.8864,1817,CU South Denver,"['university', 'point_of_interest', 'establishment']","{'compound_code': 'G5P4+78 Lone Tree, Colorado, United States', 'global_code': '85FQG5P4+78'}","10035 Peoria Street, Lone Tree",1,safety_security
"{'location': {'lat': 39.53696300000001, 'lng': -104.880857}, 'viewport': {'northeast': {'lat': 39.5382174802915, 'lng': -104.8795087197085}, 'southwest': {'lat': 39.5355195197085, 'lng': -104.8822066802915}}}",39.53696300000001,-104.880857,24.3912,1806,Tri-County Health Department,"['local_government_office', 'health', 'point_of_interest', 'establishment']","{'compound_code': 'G4P9+QM Lone Tree, Colorado, United States', 'global_code': '85FQG4P9+QM'}","9350 Heritage Hills Circle, Lone Tree",1,safety_security
"{'location': {'lat': 39.54051500000001, 'lng': -104.9448572}, 'viewport': {'northeast': {'lat': 39.5417319802915, 'lng': -104.9435179197085}, 'southwest': {'lat': 39.5390340197085, 'lng': -104.9462158802915}}}",39.540515000000006,-104.9448572,22.4607,1809,Valor Christian High School,"['secondary_school', 'school', 'point_of_interest', 'establishment']","{'compound_code': 'G3R4+63 Highlands Ranch, Colorado, United States', 'global_code': '85FQG3R4+63'}","3775 E Grace Boulevard, Highlands Ranch",1,safety_security
"{'location': {'lat': 39.54076379999999, 'lng': -104.7917251}, 'viewport': {'northeast': {'lat': 39.54217038029149, 'lng': -104.7906799697085}, 'southwest': {'lat': 39.5394724197085, 'lng': -104.7933779302915}}}",39.54076379999999,-104.7917251,27.8877,1766,Southeast Christian Church,"['church', 'place_of_worship', 'point_of_interest', 'establishment']","{'compound_code': 'G6R5+88 Parker, Colorado, United States', 'global_code': '85FQG6R5+88'}","9650 Jordan Road, Parker",1,safety_security
