geometry,name,plus_code,types,vicinity,latitude,longitude,lifeline_number,lifeline_category
"{'location': {'lat': 39.60806830000001, 'lng': -105.0188452}, 'viewport': {'northeast': {'lat': 39.6094949302915, 'lng': -105.0172460697085}, 'southwest': {'lat': 39.6067969697085, 'lng': -105.0199440302915}}}",Arapahoe Community College,"{'compound_code': 'JX5J+6F Littleton, Colorado, United States', 'global_code': '85FPJX5J+6F'}","['university', 'point_of_interest', 'establishment']","5900 South Santa Fe Drive, Littleton",39.608068300000006,-105.0188452,1,safety_security
"{'location': {'lat': 39.6083415, 'lng': -105.0191215}, 'viewport': {'northeast': {'lat': 39.6097134802915, 'lng': -105.0173925697085}, 'southwest': {'lat': 39.6070155197085, 'lng': -105.0200905302915}}}",Arapahoe Community Clg Library,"{'compound_code': 'JX5J+89 Littleton, Colorado, United States', 'global_code': '85FPJX5J+89'}","['library', 'point_of_interest', 'establishment']","5900 South Santa Fe Drive, Littleton",39.608341499999995,-105.01912150000001,1,safety_security
"{'location': {'lat': 39.6128785, 'lng': -105.0088535}, 'viewport': {'northeast': {'lat': 39.61425433029149, 'lng': -105.0072589697085}, 'southwest': {'lat': 39.6115563697085, 'lng': -105.0099569302915}}}",Arapahoe County Court,"{'compound_code': 'JX7R+5F Littleton, Colorado, United States', 'global_code': '85FPJX7R+5F'}","['courthouse', 'point_of_interest', 'establishment']","1790 West Littleton Boulevard, Littleton",39.6128785,-105.00885349999999,1,safety_security
"{'location': {'lat': 39.61367430000001, 'lng': -105.01234}, 'viewport': {'northeast': {'lat': 39.6148327802915, 'lng': -105.0109906197085}, 'southwest': {'lat': 39.6121348197085, 'lng': -105.0136885802915}}}",Littleton Municipal Court,"{'compound_code': 'JX7Q+F3 Littleton, Colorado, United States', 'global_code': '85FPJX7Q+F3'}","['courthouse', 'local_government_office', 'point_of_interest', 'establishment']","2069 West Littleton Boulevard, Littleton",39.61367430000001,-105.01234,1,safety_security
"{'location': {'lat': 39.613889, 'lng': -104.9848649}, 'viewport': {'northeast': {'lat': 39.6149917302915, 'lng': -104.9835121197085}, 'southwest': {'lat': 39.6122937697085, 'lng': -104.9862100802915}}}",Littleton High School,"{'compound_code': 'J278+H3 Littleton, Colorado, United States', 'global_code': '85FQJ278+H3'}","['secondary_school', 'school', 'point_of_interest', 'establishment']","199 East Littleton Boulevard, Littleton",39.613889,-104.98486489999999,1,safety_security
"{'location': {'lat': 39.6176316, 'lng': -105.0138259}, 'viewport': {'northeast': {'lat': 39.61890778029149, 'lng': -105.0124751197085}, 'southwest': {'lat': 39.61620981970849, 'lng': -105.0151730802915}}}",Littleton Police Administration Office,"{'compound_code': 'JX9P+3F Littleton, Colorado, United States', 'global_code': '85FPJX9P+3F'}","['police', 'point_of_interest', 'establishment']","2255 West Berry Avenue, Littleton",39.617631599999996,-105.01382590000001,1,safety_security
"{'location': {'lat': 39.617632, 'lng': -105.013826}, 'viewport': {'northeast': {'lat': 39.6189079802915, 'lng': -105.0124752197085}, 'southwest': {'lat': 39.6162100197085, 'lng': -105.0151731802915}}}",City of Littleton,"{'compound_code': 'JX9P+3F Littleton, Colorado, United States', 'global_code': '85FPJX9P+3F'}","['city_hall', 'accounting', 'finance', 'police', 'fire_station', 'local_government_office', 'point_of_interest', 'establishment']","2255 West Berry Avenue, Littleton",39.617632,-105.013826,1,safety_security
"{'location': {'lat': 39.6176493, 'lng': -105.0130635}, 'viewport': {'northeast': {'lat': 39.6189221802915, 'lng': -105.0117126197085}, 'southwest': {'lat': 39.61622421970851, 'lng': -105.0144105802915}}}",Littleton Fire Department,"{'compound_code': 'JX9P+3Q Littleton, Colorado, United States', 'global_code': '85FPJX9P+3Q'}","['fire_station', 'point_of_interest', 'establishment']","2255 West Berry Avenue, Littleton",39.6176493,-105.0130635,1,safety_security
"{'location': {'lat': 39.6180171, 'lng': -105.0136346}, 'viewport': {'northeast': {'lat': 39.6193054302915, 'lng': -105.0121981197085}, 'southwest': {'lat': 39.6166074697085, 'lng': -105.0148960802915}}}",Littleton Fire Training Division,"{'compound_code': 'JX9P+6G Littleton, Colorado, United States', 'global_code': '85FPJX9P+6G'}","['fire_station', 'point_of_interest', 'establishment']","2255 West Berry Avenue, Littleton",39.6180171,-105.01363459999999,1,safety_security
"{'location': {'lat': 39.6181377, 'lng': -104.9869869}, 'viewport': {'northeast': {'lat': 39.61948123029151, 'lng': -104.9861098197085}, 'southwest': {'lat': 39.61678326970851, 'lng': -104.9888077802915}}}",Groove Toyota,"{'compound_code': 'J297+76 Englewood, Colorado, United States', 'global_code': '85FQJ297+76'}","['finance', 'car_dealer', 'point_of_interest', 'store', 'establishment']","5460 South Broadway, Englewood",39.618137700000005,-104.98698689999999,1,safety_security
