geometry,name,types,vicinity,latitude,longitude,distance,lifeline_number,lifeline_category
"{'location': {'lat': 39.340666, 'lng': -104.817064}, 'viewport': {'northeast': {'lat': 39.3419803802915, 'lng': -104.8143784}, 'southwest': {'lat': 39.3392824197085, 'lng': -104.8179592}}}",Sri Venkateswara Swamy Temple of Colorado (SV Temple of Colorado),"['hindu_temple', 'place_of_worship']","1495 South Ridge Road, Castle Rock",39.340666,-104.817064,46.7923,1,safety_security
"{'location': {'lat': 39.4033668, 'lng': -104.864416}, 'viewport': {'northeast': {'lat': 39.4042232802915, 'lng': -104.8634204697085}, 'southwest': {'lat': 39.4015253197085, 'lng': -104.8661184302915}}}",Douglas County Courthouse,"['courthouse', 'local_government_office']","4000 Justice Way, Castle Rock",39.4033668,-104.864416,38.9159,1,safety_security
"{'location': {'lat': 39.431861, 'lng': -104.897066}, 'viewport': {'northeast': {'lat': 39.4331720802915, 'lng': -104.8956122197085}, 'southwest': {'lat': 39.4304741197085, 'lng': -104.8983101802915}}}",South Metro Fire Station 39,['fire_station'],"475 East Happy Canyon Road, Castle Rock",39.431861,-104.897066,35.1375,1,safety_security
"{'location': {'lat': 39.4907267, 'lng': -104.7303309}, 'viewport': {'northeast': {'lat': 39.49197993029149, 'lng': -104.7289452697085}, 'southwest': {'lat': 39.48928196970849, 'lng': -104.7316432302915}}}",Legend High School,"['secondary_school', 'school']","22219 Hilltop Road, Parker",39.4907267,-104.7303309,35.5253,1,safety_security
"{'location': {'lat': 39.517368, 'lng': -104.75337}, 'viewport': {'northeast': {'lat': 39.5187639302915, 'lng': -104.7522233697085}, 'southwest': {'lat': 39.5160659697085, 'lng': -104.7549213302915}}}",Parker Town Hall,"['city_hall', 'local_government_office']","20120 Mainstreet, Parker",39.517368,-104.75337,31.9756,1,safety_security
"{'location': {'lat': 39.5197648, 'lng': -104.921638}, 'viewport': {'northeast': {'lat': 39.5209217302915, 'lng': -104.9207613697085}, 'southwest': {'lat': 39.5182237697085, 'lng': -104.9234593302915}}}",Rock Canyon High School,"['secondary_school', 'school']","5810 McArthur Ranch Road, Littleton",39.5197648,-104.921638,25.1291,1,safety_security
"{'location': {'lat': 39.5225875, 'lng': -104.9657068}, 'viewport': {'northeast': {'lat': 39.5239225802915, 'lng': -104.9640185197085}, 'southwest': {'lat': 39.5212246197085, 'lng': -104.9667164802915}}}",Mountain Vista High School,"['secondary_school', 'school']","10585 Mountain Vista Ridge, Highlands Ranch",39.5225875,-104.9657068,24.2083,1,safety_security
"{'location': {'lat': 39.52657089999999, 'lng': -104.7801719}, 'viewport': {'northeast': {'lat': 39.52791988029149, 'lng': -104.7788229197085}, 'southwest': {'lat': 39.52522191970849, 'lng': -104.7815208802915}}}",Fleet Services,['fire_station'],Parker,39.52657089999999,-104.7801719,29.7454,1,safety_security
"{'location': {'lat': 39.5306485, 'lng': -104.9500131}, 'viewport': {'northeast': {'lat': 39.53221918029151, 'lng': -104.9488898697085}, 'southwest': {'lat': 39.52952121970851, 'lng': -104.9515878302915}}}",Heritage Elementary School,"['primary_school', 'school']","3350 Summit View Parkway, Highlands Ranch",39.5306485,-104.9500131,23.4742,1,safety_security
"{'location': {'lat': 39.531887, 'lng': -104.756945}, 'viewport': {'northeast': {'lat': 39.5331586302915, 'lng': -104.7555639197085}, 'southwest': {'lat': 39.5304606697085, 'lng': -104.7582618802915}}}",Parker Core Knowledge Charter School,"['primary_school', 'secondary_school', 'school']","11661 Pine Drive, Parker",39.531887,-104.756945,30.5414,1,safety_security
"{'location': {'lat': 39.53485, 'lng': -105.0109921}, 'viewport': {'northeast': {'lat': 39.5359497302915, 'lng': -105.0098979697085}, 'southwest': {'lat': 39.5332517697085, 'lng': -105.0125959302915}}}",Thunder Ridge High School,"['secondary_school', 'school']","1991 West Wildcat Reserve Parkway, Highlands Ranch",39.53485,-105.0109921,22.821,1,safety_security
"{'location': {'lat': 39.5357051, 'lng': -104.8441835}, 'viewport': {'northeast': {'lat': 39.5370072802915, 'lng': -104.8422848697085}, 'southwest': {'lat': 39.53430931970851, 'lng': -104.8449828302915}}}",CU South Denver,['university'],"10035 Peoria Street, Lone Tree",39.5357051,-104.8441835,25.8864,1,safety_security
"{'location': {'lat': 39.53696300000001, 'lng': -104.880857}, 'viewport': {'northeast': {'lat': 39.5382174802915, 'lng': -104.8795087197085}, 'southwest': {'lat': 39.5355195197085, 'lng': -104.8822066802915}}}",Tri-County Health Department,"['local_government_office', 'health']","9350 Heritage Hills Circle, Lone Tree",39.53696300000001,-104.880857,24.3912,1,safety_security
"{'location': {'lat': 39.54051500000001, 'lng': -104.9448572}, 'viewport': {'northeast': {'lat': 39.5417319802915, 'lng': -104.9435179197085}, 'southwest': {'lat': 39.5390340197085, 'lng': -104.9462158802915}}}",Valor Christian High School,"['secondary_school', 'school']","3775 E Grace Boulevard, Highlands Ranch",39.54051500000001,-104.9448572,22.4607,1,safety_security
"{'location': {'lat': 39.54076379999999, 'lng': -104.7917251}, 'viewport': {'northeast': {'lat': 39.54217038029149, 'lng': -104.7906799697085}, 'southwest': {'lat': 39.5394724197085, 'lng': -104.7933779302915}}}",Southeast Christian Church,"['church', 'place_of_worship']","9650 Jordan Road, Parker",39.54076379999999,-104.7917251,27.8877,1,safety_security
"{'location': {'lat': 39.54175590000001, 'lng': -104.9147686}, 'viewport': {'northeast': {'lat': 39.54331483029151, 'lng': -104.9132777197085}, 'southwest': {'lat': 39.54061686970851, 'lng': -104.9159756802915}}}",United States Postal Service,"['post_office', 'finance', 'local_government_office']","9609 South University Boulevard, Highlands Ranch",39.54175590000001,-104.9147686,22.9154,1,safety_security
"{'location': {'lat': 39.5467426, 'lng': -104.9961203}, 'viewport': {'northeast': {'lat': 39.54835398029149, 'lng': -104.9947915197085}, 'southwest': {'lat': 39.5456560197085, 'lng': -104.9974894802915}}}",Douglas County Libraries,['library'],"9292 South Ridgeline Boulevard, Highlands Ranch",39.5467426,-104.9961203,21.4337,1,safety_security
"{'location': {'lat': 39.560742, 'lng': -104.8699073}, 'viewport': {'northeast': {'lat': 39.56203413029149, 'lng': -104.8684940697085}, 'southwest': {'lat': 39.55933616970849, 'lng': -104.8711920302915}}}",Grace Chapel,"['church', 'place_of_worship']","8505 South Valley Highway, Englewood",39.560742,-104.8699073,22.3871,1,safety_security
"{'location': {'lat': 39.562919, 'lng': -104.9172503}, 'viewport': {'northeast': {'lat': 39.5642390302915, 'lng': -104.9156103197085}, 'southwest': {'lat': 39.5615410697085, 'lng': -104.9183082802915}}}",SkyView Academy,"['primary_school', 'secondary_school', 'school']","6161 Business Center Drive, Highlands Ranch",39.562919,-104.9172503,20.6002,1,safety_security
"{'location': {'lat': 39.5649407, 'lng': -105.0723624}, 'viewport': {'northeast': {'lat': 39.5662900802915, 'lng': -105.0711970697085}, 'southwest': {'lat': 39.5635921197085, 'lng': -105.0738950302915}}}",Sant Nirankari Mission Spiritual Center,"['hindu_temple', 'place_of_worship']",Littleton,39.5649407,-105.0723624,20.6389,1,safety_security
"{'location': {'lat': 39.5686442, 'lng': -104.9657012}, 'viewport': {'northeast': {'lat': 39.5699931802915, 'lng': -104.9641599197085}, 'southwest': {'lat': 39.56729521970851, 'lng': -104.9668578802915}}}",Denver Colorado Temple,"['church', 'place_of_worship']","2001 East Phillips Circle, Centennial",39.5686442,-104.9657012,19.106,1,safety_security
"{'location': {'lat': 39.5693276, 'lng': -105.1222527}, 'viewport': {'northeast': {'lat': 39.5704533802915, 'lng': -105.1208971697085}, 'southwest': {'lat': 39.5677554197085, 'lng': -105.1235951302915}}}",Jefferson County Sheriffs Office,"['police', 'local_government_office']","11139 Bradford Road, Littleton",39.5693276,-105.1222527,22.0389,1,safety_security
"{'location': {'lat': 39.5822803, 'lng': -104.8315318}, 'viewport': {'northeast': {'lat': 39.58359768029149, 'lng': -104.8298032197085}, 'southwest': {'lat': 39.58089971970849, 'lng': -104.8325011802915}}}",Arapahoe County District Court,"['courthouse', 'local_government_office']","7325 South Potomac Street #100, Centennial",39.5822803,-104.8315318,22.142,1,safety_security
"{'location': {'lat': 39.584708, 'lng': -104.989323}, 'viewport': {'northeast': {'lat': 39.58614933029151, 'lng': -104.9878574697085}, 'southwest': {'lat': 39.58345136970851, 'lng': -104.9905554302915}}}",South Suburban Christian Church,"['church', 'place_of_worship']","7275 South Broadway, Littleton",39.584708,-104.989323,17.2018,1,safety_security
"{'location': {'lat': 39.5849998, 'lng': -104.8677889}, 'viewport': {'northeast': {'lat': 39.58629483029149, 'lng': -104.8664400697085}, 'southwest': {'lat': 39.58359686970849, 'lng': -104.8691380302915}}}",US Post Office,"['post_office', 'finance']","7255 South Havana Street #140, Centennial",39.5849998,-104.8677889,20.1223,1,safety_security
"{'location': {'lat': 39.5857713, 'lng': -104.8303273}, 'viewport': {'northeast': {'lat': 39.5871168302915, 'lng': -104.8285386697085}, 'southwest': {'lat': 39.5844188697085, 'lng': -104.8312366302915}}}",Hindu Temple of The Rockies,"['hindu_temple', 'place_of_worship']","7201 South Potomac Street, Centennial",39.5857713,-104.8303273,21.9009,1,safety_security
"{'location': {'lat': 39.5875, 'lng': -104.87}, 'viewport': {'northeast': {'lat': 39.5889500802915, 'lng': -104.8687185197085}, 'southwest': {'lat': 39.5862521197085, 'lng': -104.8714164802915}}}",Shri Shirdi SaiBaba Temple of Rockies,"['hindu_temple', 'place_of_worship']","10250 East Easter Avenue, Centennial",39.5875,-104.87,19.786,1,safety_security
"{'location': {'lat': 39.58996999999999, 'lng': -104.7087694}, 'viewport': {'northeast': {'lat': 39.5913466302915, 'lng': -104.7076091697085}, 'southwest': {'lat': 39.5886486697085, 'lng': -104.7103071302915}}}",Aurora Police Department,['police'],"23911 East Arapahoe Road, Aurora",39.58996999999999,-104.7087694,29.2896,1,safety_security
"{'location': {'lat': 39.5901675, 'lng': -104.8564016}, 'viewport': {'northeast': {'lat': 39.5915164802915, 'lng': -104.8550526197085}, 'southwest': {'lat': 39.5888185197085, 'lng': -104.8577505802915}}}",Arapahoe County Centennial Motor Vehicle Office,['local_government_office'],"6954 South Lima Street, Centennial",39.5901675,-104.8564016,20.172,1,safety_security
"{'location': {'lat': 39.5921289, 'lng': -104.6864756}, 'viewport': {'northeast': {'lat': 39.5934372302915, 'lng': -104.6854746197085}, 'southwest': {'lat': 39.5907392697085, 'lng': -104.6881725802915}}}",Cherokee Trail High School,"['secondary_school', 'school']","25901 East Arapahoe Road, Aurora",39.5921289,-104.6864756,30.7529,1,safety_security
"{'location': {'lat': 39.5926356, 'lng': -104.7466737}, 'viewport': {'northeast': {'lat': 39.5941958302915, 'lng': -104.7451720197085}, 'southwest': {'lat': 39.5914978697085, 'lng': -104.7478699802915}}}",Grandview High School,"['secondary_school', 'school']","20500 East Arapahoe Road, Aurora",39.5926356,-104.7466737,26.4944,1,safety_security
"{'location': {'lat': 39.5928322, 'lng': -105.0702292}, 'viewport': {'northeast': {'lat': 39.5939093802915, 'lng': -105.06701755}, 'southwest': {'lat': 39.5912114197085, 'lng': -105.07265695}}}",Front Range Christian School,"['school', 'primary_school', 'secondary_school']","6657 West Ottawa Avenue, Littleton",39.5928322,-105.0702292,17.6796,1,safety_security
"{'location': {'lat': 39.59578700000001, 'lng': -104.9632143}, 'viewport': {'northeast': {'lat': 39.59723373029151, 'lng': -104.9618578697085}, 'southwest': {'lat': 39.59453576970851, 'lng': -104.9645558302915}}}",United States Postal Service,"['post_office', 'finance']","2221 East Arapahoe Road, Centennial",39.59578700000001,-104.9632143,16.1355,1,safety_security
"{'location': {'lat': 39.5960576, 'lng': -105.1048467}, 'viewport': {'northeast': {'lat': 39.5974043802915, 'lng': -105.1038193197085}, 'southwest': {'lat': 39.5947064197085, 'lng': -105.1065172802915}}}",United States Postal Service,"['post_office', 'finance']","6698 South Iris Street, Littleton",39.5960576,-105.1048467,18.7202,1,safety_security
"{'location': {'lat': 39.5993345, 'lng': -104.7030319}, 'viewport': {'northeast': {'lat': 39.6005623302915, 'lng': -104.7017955197085}, 'southwest': {'lat': 39.5978643697085, 'lng': -104.7044934802915}}}",Highpoint Church,"['church', 'place_of_worship']","6450 South Southlands Parkway, Aurora",39.5993345,-104.7030319,29.124,1,safety_security
"{'location': {'lat': 39.5997418, 'lng': -104.8894298}, 'viewport': {'northeast': {'lat': 39.6010907802915, 'lng': -104.8880761197085}, 'southwest': {'lat': 39.5983928197085, 'lng': -104.8907740802915}}}",MetLife Home Loans,"['finance', 'local_government_office']","6400 South Fiddlers Green Circle, Greenwood Village",39.5997418,-104.8894298,17.7694,1,safety_security
"{'location': {'lat': 39.600443, 'lng': -104.799334}, 'viewport': {'northeast': {'lat': 39.6017955302915, 'lng': -104.7985240197085}, 'southwest': {'lat': 39.5990975697085, 'lng': -104.8012219802915}}}",Regis Jesuit High School,"['secondary_school', 'school']","6300 South Lewiston Way, Aurora",39.600443,-104.799334,22.5013,1,safety_security
"{'location': {'lat': 39.6005925, 'lng': -105.0224026}, 'viewport': {'northeast': {'lat': 39.6017352302915, 'lng': -105.0212915697085}, 'southwest': {'lat': 39.5990372697085, 'lng': -105.0239895302915}}}",Denver Seminary,"['place_of_worship', 'university']","6399 South Santa Fe Drive, Littleton",39.6005925,-105.0224026,15.6773,1,safety_security
"{'location': {'lat': 39.60407869999999, 'lng': -105.0732529}, 'viewport': {'northeast': {'lat': 39.6055961302915, 'lng': -105.0719166697085}, 'southwest': {'lat': 39.6028981697085, 'lng': -105.0746146302915}}}",Columbine High School,"['secondary_school', 'school']","6201 South Pierce Street, Littleton",39.60407869999999,-105.0732529,16.6415,1,safety_security
"{'location': {'lat': 39.606264, 'lng': -104.9035575}, 'viewport': {'northeast': {'lat': 39.6074962802915, 'lng': -104.9022091697085}, 'southwest': {'lat': 39.6047983197085, 'lng': -104.9049071302915}}}",Greenwood City Police Department,['police'],"6060 South Quebec Street, Greenwood Village",39.606264,-104.9035575,16.5613,1,safety_security
"{'location': {'lat': 39.60643189999999, 'lng': -104.9031886}, 'viewport': {'northeast': {'lat': 39.6076205302915, 'lng': -104.9017102697085}, 'southwest': {'lat': 39.6049225697085, 'lng': -104.9044082302915}}}",Greenwood Village City Hall,"['city_hall', 'local_government_office']","6060 South Quebec Street, Greenwood Village",39.60643189999999,-104.9031886,16.5588,1,safety_security
"{'location': {'lat': 39.60806830000001, 'lng': -105.0188452}, 'viewport': {'northeast': {'lat': 39.6094949302915, 'lng': -105.0172460697085}, 'southwest': {'lat': 39.6067969697085, 'lng': -105.0199440302915}}}",Arapahoe Community College,['university'],"5900 South Santa Fe Drive, Littleton",39.60806830000001,-105.0188452,14.8053,1,safety_security
"{'location': {'lat': 39.6083415, 'lng': -105.0191215}, 'viewport': {'northeast': {'lat': 39.6097134802915, 'lng': -105.0173925697085}, 'southwest': {'lat': 39.6070155197085, 'lng': -105.0200905302915}}}",Arapahoe Community Clg Library,['library'],"5900 South Santa Fe Drive, Littleton",39.6083415,-105.0191215,14.7793,1,safety_security
"{'location': {'lat': 39.60885020000001, 'lng': -105.0825024}, 'viewport': {'northeast': {'lat': 39.61026168029151, 'lng': -105.0810149197085}, 'southwest': {'lat': 39.60756371970851, 'lng': -105.0837128802915}}}",Columbine Library - Jefferson County Public Library,['library'],"7706 West Bowles Avenue, Littleton",39.60885020000001,-105.0825024,16.5268,1,safety_security
"{'location': {'lat': 39.6128785, 'lng': -105.0088535}, 'viewport': {'northeast': {'lat': 39.61425433029149, 'lng': -105.0072589697085}, 'southwest': {'lat': 39.6115563697085, 'lng': -105.0099569302915}}}",Arapahoe County Court,['courthouse'],"1790 West Littleton Boulevard, Littleton",39.6128785,-105.0088535,14.1557,1,safety_security
"{'location': {'lat': 39.613889, 'lng': -104.9848649}, 'viewport': {'northeast': {'lat': 39.6149917302915, 'lng': -104.9835121197085}, 'southwest': {'lat': 39.6122937697085, 'lng': -104.9862100802915}}}",Littleton High School,"['secondary_school', 'school']","199 East Littleton Boulevard, Littleton",39.613889,-104.9848649,13.9609,1,safety_security
"{'location': {'lat': 39.6142031, 'lng': -105.1094581}, 'viewport': {'northeast': {'lat': 39.6156932302915, 'lng': -105.1081145697085}, 'southwest': {'lat': 39.6129952697085, 'lng': -105.1108125302915}}}",West Metro Fire Rescue - Station #12,['fire_station'],"9990 West Alamo Place, Littleton",39.6142031,-105.1094581,17.2635,1,safety_security
"{'location': {'lat': 39.6174524, 'lng': -105.0643197}, 'viewport': {'northeast': {'lat': 39.6186800802915, 'lng': -105.0631304697085}, 'southwest': {'lat': 39.61598211970851, 'lng': -105.0658284302915}}}",Grant Ranch ECE-8 School,"['primary_school', 'secondary_school', 'school']","5400 South Jay Circle, Littleton",39.6174524,-105.0643197,14.9683,1,safety_security
"{'location': {'lat': 39.617632, 'lng': -105.013826}, 'viewport': {'northeast': {'lat': 39.6189079802915, 'lng': -105.0124752197085}, 'southwest': {'lat': 39.6162100197085, 'lng': -105.0151731802915}}}",City of Littleton,"['city_hall', 'accounting', 'finance', 'police', 'fire_station', 'local_government_office']","2255 West Berry Avenue, Littleton",39.617632,-105.013826,13.6864,1,safety_security
"{'location': {'lat': 39.6176493, 'lng': -105.0130635}, 'viewport': {'northeast': {'lat': 39.6189221802915, 'lng': -105.0117126197085}, 'southwest': {'lat': 39.61622421970851, 'lng': -105.0144105802915}}}",Littleton Fire Department,['fire_station'],"2255 West Berry Avenue, Littleton",39.6176493,-105.0130635,13.675,1,safety_security
"{'location': {'lat': 39.6180171, 'lng': -105.0136346}, 'viewport': {'northeast': {'lat': 39.6193054302915, 'lng': -105.0121981197085}, 'southwest': {'lat': 39.6166074697085, 'lng': -105.0148960802915}}}",Littleton Fire Training Division,['fire_station'],"2255 West Berry Avenue, Littleton",39.6180171,-105.0136346,13.6416,1,safety_security
"{'location': {'lat': 39.623071, 'lng': -104.92137}, 'viewport': {'northeast': {'lat': 39.6245689302915, 'lng': -104.9200208697085}, 'southwest': {'lat': 39.6218709697085, 'lng': -104.9227188302915}}}",Congregation Yeshuat Tsion,"['synagogue', 'place_of_worship']","5600 East Belleview Avenue, Greenwood Village",39.623071,-104.92137,14.214,1,safety_security
"{'location': {'lat': 39.623528, 'lng': -104.8776023}, 'viewport': {'northeast': {'lat': 39.6250793302915, 'lng': -104.8762557697085}, 'southwest': {'lat': 39.6223813697085, 'lng': -104.8789537302915}}}",Aish Denver,"['synagogue', 'place_of_worship']","9550 East Belleview Avenue, Greenwood Village",39.623528,-104.8776023,16.0946,1,safety_security
"{'location': {'lat': 39.62357250000001, 'lng': -104.8777691}, 'viewport': {'northeast': {'lat': 39.6249220802915, 'lng': -104.8765826697085}, 'southwest': {'lat': 39.62222411970851, 'lng': -104.8792806302915}}}",Ahavas Yisroel Aish Hatorah,"['synagogue', 'place_of_worship']",Greenwood Village,39.62357250000001,-104.8777691,16.0821,1,safety_security
"{'location': {'lat': 39.6302123, 'lng': -104.8801104}, 'viewport': {'northeast': {'lat': 39.6313588802915, 'lng': -104.8787782197085}, 'southwest': {'lat': 39.6286609197085, 'lng': -104.8814761802915}}}",Cherry Creek High School,"['secondary_school', 'school']","9300 East Union Avenue, Greenwood Village",39.6302123,-104.8801104,15.3725,1,safety_security
"{'location': {'lat': 39.6473828, 'lng': -105.0692485}, 'viewport': {'northeast': {'lat': 39.6484203802915, 'lng': -105.0679622697085}, 'southwest': {'lat': 39.64572241970851, 'lng': -105.0706602302915}}}",Colorado Academy,"['primary_school', 'secondary_school', 'school']","3800 South Pierce Street, Denver",39.6473828,-105.0692485,12.261,1,safety_security
"{'location': {'lat': 39.6497991, 'lng': -104.921273}, 'viewport': {'northeast': {'lat': 39.6511975802915, 'lng': -104.9201670197085}, 'southwest': {'lat': 39.6484996197085, 'lng': -104.9228649802915}}}",Hebrew Educational Alliance,"['synagogue', 'place_of_worship']","3600 South Ivanhoe Way, Denver",39.6497991,-104.921273,11.577,1,safety_security
"{'location': {'lat': 39.6500575, 'lng': -104.9209592}, 'viewport': {'northeast': {'lat': 39.6515185802915, 'lng': -104.9196078197085}, 'southwest': {'lat': 39.6488206197085, 'lng': -104.9223057802915}}}",Congregation Hebrew Educational Alliance,"['synagogue', 'place_of_worship']","3600 South Ivanhoe Way, Denver",39.6500575,-104.9209592,11.566,1,safety_security
"{'location': {'lat': 39.65129, 'lng': -105.0363376}, 'viewport': {'northeast': {'lat': 39.65264313029149, 'lng': -105.0344828697085}, 'southwest': {'lat': 39.6499451697085, 'lng': -105.0371808302915}}}",J K Mullen High School,['school'],"3601 South Lowell Boulevard, Denver",39.65129,-105.0363376,10.5558,1,safety_security
"{'location': {'lat': 39.6516927, 'lng': -104.8067819}, 'viewport': {'northeast': {'lat': 39.6529119802915, 'lng': -104.8056321197085}, 'southwest': {'lat': 39.6502140197085, 'lng': -104.8083300802915}}}",CMCC Colorado Muslims Community Center,"['mosque', 'place_of_worship']","15528 East Hampden Circle, Aurora",39.6516927,-104.8067819,18.491,1,safety_security
"{'location': {'lat': 39.652153, 'lng': -104.933641}, 'viewport': {'northeast': {'lat': 39.6534647302915, 'lng': -104.9324096197085}, 'southwest': {'lat': 39.6507667697085, 'lng': -104.9351075802915}}}",Bethany Lutheran Church (ELCA),"['church', 'place_of_worship']","4500 East Hampden Avenue, Cherry Hills Village",39.652153,-104.933641,10.8389,1,safety_security
"{'location': {'lat': 39.6524754, 'lng': -104.9269894}, 'viewport': {'northeast': {'lat': 39.6536083302915, 'lng': -104.9256410197085}, 'southwest': {'lat': 39.65091036970851, 'lng': -104.9283389802915}}}",Temple Sinai,"['synagogue', 'place_of_worship', 'school']","3509 South Glencoe Street, Denver",39.6524754,-104.9269894,11.0741,1,safety_security
"{'location': {'lat': 39.6535053, 'lng': -104.8856893}, 'viewport': {'northeast': {'lat': 39.65477243029149, 'lng': -104.8844446197085}, 'southwest': {'lat': 39.6520744697085, 'lng': -104.8871425802915}}}",Royal Thai Honorary Consulate General Denver,['embassy'],"8821 East Hampden Avenue #256, Denver",39.6535053,-104.8856893,13.0875,1,safety_security
"{'location': {'lat': 39.65466800000001, 'lng': -104.874767}, 'viewport': {'northeast': {'lat': 39.6560162302915, 'lng': -104.8732599697085}, 'southwest': {'lat': 39.65331826970851, 'lng': -104.8759579302915}}}",Denver Public Library: Hampden Branch Library,['library'],"9755 East Girard Avenue, Denver",39.65466800000001,-104.874767,13.655,1,safety_security
